,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
5,6,Bryant Notree,32.0,11.0,20.5,2.9,7.0,0.409,2.6,6.0,0.427,0.3,1.0,0.303,1.8,2.5,0.734,,,3.7,1.3,0.7,0.0,1.7,2.6,7.9,illinois,1997
6,7,Jarrod Gee,32.0,16.0,19.9,2.7,5.0,0.541,2.7,5.0,0.541,0.0,0.0,,0.7,1.2,0.59,,,3.8,0.7,0.4,0.3,1.1,3.3,6.1,illinois,1997
7,8,Brian Johnson,32.0,16.0,22.8,1.8,3.4,0.541,1.8,3.2,0.574,0.0,0.3,0.125,1.7,2.3,0.716,,,3.8,2.0,0.6,0.4,1.6,2.7,5.4,illinois,1997
8,9,Victor Chukwudebe,32.0,0.0,10.6,1.2,2.5,0.457,1.2,2.5,0.457,0.0,0.0,,0.4,0.7,0.522,,,2.2,0.2,0.4,0.4,0.4,1.8,2.7,illinois,1997
9,10,Halim Abdullah,26.0,3.0,7.5,0.4,1.5,0.256,0.2,0.8,0.25,0.2,0.7,0.263,0.3,0.6,0.533,,,0.2,1.0,0.6,0.0,0.9,0.4,1.3,illinois,1997
10,11,Herb Caldwell,17.0,0.0,2.0,0.1,0.3,0.4,0.1,0.3,0.4,0.0,0.0,,0.3,0.5,0.625,,,0.5,0.1,0.0,0.0,0.1,0.3,0.5,illinois,1997
11,12,David Freeman,17.0,0.0,3.3,0.2,0.8,0.308,0.2,0.5,0.5,0.0,0.3,0.0,0.0,0.2,0.0,,,0.4,0.3,0.2,0.1,0.3,0.2,0.5,illinois,1997
12,13,Udoiwod Udoiwod,5.0,0.0,1.8,0.2,0.6,0.333,0.2,0.6,0.333,0.0,0.0,,0.0,0.2,0.0,,,0.4,0.0,0.0,0.0,0.2,0.2,0.4,illinois,1997
13,14,Jelani Boline,15.0,0.0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.1,0.4,0.167,,,0.5,0.6,0.3,0.0,0.5,0.4,0.1,illinois,1997
14,15,Jeff Reichardt,2.0,0.0,2.5,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.5,0.0,illinois,1997
0,1,Andrae Patterson,30.0,25.0,27.6,5.0,10.7,0.47,4.7,9.3,0.504,0.4,1.4,0.256,3.2,4.3,0.758,,,6.7,1.4,1.1,1.3,2.6,3.0,13.7,indiana,1997
1,2,A.J. Guyton,33.0,29.0,33.5,4.8,10.9,0.435,3.1,6.5,0.468,1.7,4.4,0.386,2.4,2.8,0.851,,,3.3,3.9,1.2,0.5,2.2,1.3,13.6,indiana,1997
2,3,Neil Reed,33.0,26.0,30.6,3.2,7.8,0.415,1.5,3.5,0.427,1.7,4.3,0.404,4.4,5.2,0.854,,,2.9,2.2,0.6,0.1,1.8,1.6,12.6,indiana,1997
3,4,Jason Collier,33.0,27.0,23.6,3.4,7.8,0.434,3.2,7.4,0.433,0.2,0.4,0.462,2.4,3.5,0.684,,,5.7,0.7,0.5,1.0,2.2,2.3,9.4,indiana,1997
4,5,Charlie Miller,33.0,17.0,26.5,2.5,5.3,0.463,1.9,3.8,0.504,0.5,1.5,0.36,2.5,3.5,0.73,,,4.2,0.9,0.8,0.5,1.7,2.0,8.0,indiana,1997
5,6,Michael Lewis,33.0,14.0,20.6,1.4,3.7,0.369,1.0,2.5,0.393,0.4,1.2,0.316,2.6,3.3,0.798,,,2.2,2.9,0.8,0.0,2.1,1.7,5.7,indiana,1997
